Player,STP,CP,LVL,Latest Arena Rank,All-time Arena Rank,Blitz Wins,Total Characters Collected,Has Night Nurse?,Team Number
TheXButton,42504,95521,54,407,50,287,32,No,2
Jjbou,38753,78922,52,769,584,186,28,Yes,3
UberSnitzel,35898,78496,50,26,7,145,31,No,3
rockoroo,31437,62413,49,26,26,149,24,,1
JDSPINKPANTHER,31092,65262,49,98,10,145,27,Yes,2
BruceLeroy,30604,61470,50,1796,1720,129,25,,1
Mrs.Commanderson,29632,73155,48,124,96,127,28,Yes,3
Koolaid Komando,28690,80001,53,2594,1672,144,27,Yes,3
nave2cool,29524,75556,51,888,827,188,25,Yes,1
Kreos,27497,61144,49,95,19,143,22,,3
Luminathis,28846,64233,47,197,165,129,49,,2
Peter Commander,27056,69655,49,167,45,178,29,,2
punkinface,25036,69377,46,413,360,141,26,Yes,2
TreeWithBeard,24553,61919,48,1021,886,99,22,Yes,1
Voxx,23529,59893,45,556,497,105,22,,3
Bluestorm,24202,68868,46,479,400,187,28,,1
Hal9000,23037,60811,46,1578,1359,67,23,No,1
MajorSlayerz,22638,51870,45,1152,983,68,20,,3
Shonufa,20589,48785,43,534,534,73,19,No,2
Snektoof,19545,45174,43,1251,1251,79,19,,1
Sebasty2Nasty,18960,35642,38,1305,1305,58,19,,2
Danaka,16632,36445,37,2453,2206,56,19,Yes,3
Rigby,11155,20748,34,441,441,19,13,,2
Bluffnomore,37243,105917,56,1386,1253,271,35,,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Alliance Average,27027,63803,47,823,696,132,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Team 1,215475,508742,47,579,516,128,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Team 2,223614,536967,48,1103,968,151,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Team 3,209563,485568,47,788,603,118,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Analysis,,,,,,,,,
Team 1,,,,,,,,,
Team 2,,,,,,,,,
Team 3,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Stats,,,,,,,,,